MT,Montana
NC,North Carolina
MD,Maryland
CO,Colorado
CT,Connecticut
IL,Illinois
WY,Wyoming
NJ,New Jersey
DE,Delaware
DC,District of Columbia
TN,Tennessee
AR,Arkansas
LA,Louisiana
AK,Alaska
CA,California
NM,New Mexico
UT,Utah
MI,Michigan
NY,New York
NH,New Hampshire
WA,Washington
IA,Iowa
ME,Maine
KY,Kentucky
FL,Florida
TX,Texas
MN,Minnesota
AL,Alabama
PA,Pennsylvania
RI,Rhode Island
WI,Wisconsin
IN,Indiana
SD,South Dakota
VA,Virginia
HI,Hawaii
WV,West Virginia
GA,Georgia
MS,Mississippi
ND,North Dakota
VT,Vermont
AZ,Arizona
KS,Kansas
MO,Missouri
SC,South Carolina
OH,Ohio
NE,Nebraska
OK,Oklahoma
OR,Oregon
NV,Nevada
ID,Idaho
MA,Massachusetts
